school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Wirt High School,Gary Community School Corp,9/15/2004,2004-2005,2004,,Wednesday,Gary,Indiana,public,792,0,0,0,indiscriminate,19,m,Unknown,student,0.0,0,handgun,Unknown,41.60997,-87.26145,49.7,9,12,394.0,Lake County,13.0,0
Thurgood Marshall High School,Baltimore City,10/21/2004,2004-2005,2004,16:00:00,Thursday,Baltimore,Maryland,public,502,0,2,2,targeted,16,m,Unknown,student,0.0,1,handgun,Unknown,39.31911,-76.54552,22.0,9,11,296.0,Baltimore City,11.0,0
Booker T. Washington High School,Orleans Parish,11/12/2004,2004-2005,2004,12:00:00,Friday,New Orleans,Louisiana,public,383,0,1,1,targeted,28,f,Unknown,security guard,0.0,1,.38-caliber revolver,department issued,29.94966,-90.08893,36.8,8,12,308.0,Orleans Parish,11.0,0
Emmanuel Christian Academy,Unknown,12/7/2004,2004-2005,2004,15:00:00,Tuesday,Jackson,Mississippi,private,128,0,1,1,accidental,28,f,Unknown,Unknown,0.0,0,.22 caliber handgun,Unknown,32.288835,-90.196049,11.0,PK,8,488.0,Hinds County,12.0,0
Woodruff High School,Peoria School District 150,1/26/2005,2004-2005,2005,,Wednesday,Peoria,Illinois,public,1012,0,0,0,targeted,15,m,b,student,0.0,0,handgun,Unknown,40.70725,-89.57513,65.0,9,12,606.0,Peoria County,12.0,0
Bowen High School,City Of Chicago School Dist 299,2/8/2005,2004-2005,2005,14:32:00,Tuesday,Chicago,Illinois,public,215,0,1,1,targeted,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,41.73354,-87.557742,45.7,11,12,212.0,Cook County,11.0,0
Maplewood Comprehensive High School,Nashville-Davidson County SD,3/9/2005,2004-2005,2005,14:00:00,Wednesday,Nashville,Tennessee,public,1119,0,1,1,targeted,16,m,Unknown,former student (expelled),0.0,0,handgun,Unknown,36.22912,-86.74568,63.0,9,12,488.0,Davidson County,11.0,0
Red Lake High School,Red Lake,3/21/2005,2004-2005,2005,14:49:00,Monday,Red Lake,Minnesota,public,331,7,7,14,indiscriminate,16,m,ai,former student,1.0,1,".40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun",grandfather,47.8509,-95.0629,31.1,9,12,295.0,Beltrami County,43.0,0
Canton High School,Canton ISD,4/7/2005,2004-2005,2005,09:20:00,Thursday,Canton,Texas,public,533,0,1,1,targeted,45,m,w,father of football player,0.0,0,.45-caliber pistol,legally purchased by shooter,32.54958,-95.86617,39.4,9,12,79.0,Van Zandt County,32.0,0
Highland Elementary School,West Shore SD,5/17/2005,2004-2005,2005,15:00:00,Tuesday,Lower Allen Township,Pennsylvania,public,445,1,0,1,targeted,47,m,Unknown,dating mother of student,1.0,0,9 mm semiautomatic handgun,Unknown,40.21999,-76.95256,24.2,KG,5,35.0,Cumberland County,21.0,0
Maury Middle School,Jefferson County School District,8/25/2005,2005-2006,2005,09:30:00,Thursday,Jacksboro,Tennessee,public,609,0,1,1,accidental,14,m,Unknown,student,0.0,0,".38-caliber Smith & Wesson, .22-caliber handgun",guardian (uncle),36.0213,-83.4041,34.7,6,8,314.0,Jefferson County,41.0,0
Sojourner Truth High School,Duval County School District,9/2/2005,2005-2006,2005,12:50:00,Friday,Jacksonville,Florida,public,123,0,1,1,targeted,19,m,Unknown,Unknown,0.0,0,handgun,Unknown,30.27037,-81.61618,7.0,9,12,62.0,Duval County,11.0,0
Harlan Community Academy High School,City Of Chicago Sd 299,9/13/2005,2005-2006,2005,14:20:00,Tuesday,Chicago,Illinois,public,1381,0,1,1,targeted,15,m,Unknown,student,0.0,1,.25-caliber handgun,Unknown,41.7184,-87.62085,101.6,7,12,959.0,Cook County,11.0,0
Farmington High School,Farmington R-VII,10/11/2005,2005-2006,2005,08:00:00,Tuesday,Farmington,Missouri,public,1160,0,0,0,indiscriminate,17,m,w,student,0.0,0,single-shot shotgun,father,37.78108,-90.43619,68.6,9,12,344.0,St. Francois County,32.0,0
Saginaw High School,Saginaw City School District,10/20/2005,2005-2006,2005,12:00:00,Thursday,Saginaw,Michigan,public,1178,0,1,1,targeted,15,m,Unknown,student,0.0,1,.380-caliber handgun,stolen,43.40713,-83.92541,58.0,9,12,823.0,Saginaw County,13.0,0
Campbell County High School,Campbell County School Distrct,11/8/2005,2005-2006,2005,14:00:00,Tuesday,Jacksboro,Tennessee,public,1440,1,2,3,targeted and indiscriminate,15,m,w,student,0.0,0,.22-caliber pistol,Unknown,36.35086,-84.14832,79.4,9,12,851.0,Campbell County,32.0,0
Central High School,Detroit City School District,12/6/2005,2005-2006,2005,13:30:00,Tuesday,Detroit,Michigan,public,1205,0,1,1,indiscriminate,18,m,Unknown,Unknown,0.0,0,Unknown,Unknown,42.38469,-83.11269,55.2,8,12,897.0,Wayne County,11.0,0
Mary McLeod Bethune Academy,Milwaukee Sch Dist,1/11/2006,2005-2006,2006,12:30:00,Wednesday,Milwaukee,Wisconsin,public,366,0,1,1,indiscriminate,18,m,Unknown,Unknown,0.0,0,Unknown,Unknown,43.05063,-87.95774,24.0,PK,7,321.0,Milwaukee County,11.0,0
Milwee Middle School,Seminole County School District,1/13/2006,2005-2006,2006,09:30:00,Friday,Longwood,Florida,public,1121,1,0,1,targeted,19,m,w,SWAT officer,0.0,1,high-powered rifle,police issued,28.68172,-81.34669,76.0,6,8,569.0,Seminole County,21.0,0
